id,title,title_fr,slug,path,country,latlng,source,type
locations:lbn_a3_0061,"Aain Ksour",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.74631897, ""lng"":35.53510328}",OCHA,node
locations:lbn_a3_0062,"Aain Mouaffaq",,[lbn],"[lbn,lbn_a1_06,lbn_a2_03]",,"{""lat"":33.8216306, ""lng"":35.65390021}",OCHA,node
locations:lbn_a3_0063,"Aain Ouzain",,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.67904209, ""lng"":35.62293672}",OCHA,node
locations:lbn_a3_0064,"Aain Qana",,[lbn],"[lbn,lbn_a1_07,lbn_a2_13]",,"{""lat"":33.46600111, ""lng"":35.50166649}",OCHA,node
locations:lbn_a3_0065,"Aain Qania",,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.6499565, ""lng"":35.61335398}",OCHA,node
locations:lbn_a3_0066,"Aain Qinia",,[lbn],"[lbn,lbn_a1_07,lbn_a2_14]",,"{""lat"":33.39949865, ""lng"":35.70516403}",OCHA,node
locations:lbn_a3_0067,"Aain Rouha",,[lbn],"[lbn,lbn_a1_04,lbn_a2_20]",,"{""lat"":33.4577681, ""lng"":35.78035978}",OCHA,node
locations:lbn_a3_0068,"Aain Saadeh",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.86940457, ""lng"":35.58927375}",OCHA,node
locations:lbn_a3_0069,"Aain Tinta",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.58580661, ""lng"":36.18188756}",OCHA,node
locations:lbn_a3_0070,"Aain Traz",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.73388203, ""lng"":35.5820698}",OCHA,node
locations:lbn_a3_0071,"Aain Yaaqoub",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.52184085, ""lng"":36.20117575}",OCHA,node
locations:lbn_a3_0072,"Aain Zebdeh",,[lbn],"[lbn,lbn_a1_04,lbn_a2_24]",,"{""lat"":33.62680956, ""lng"":35.69952193}",OCHA,node
locations:lbn_a3_0073,"Aain Zhalta",,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.73433796, ""lng"":35.72079605}",OCHA,node
locations:lbn_a3_0074,Aainbal,,[lbn],"[lbn,lbn_a1_06,lbn_a2_08]",,"{""lat"":33.65521587, ""lng"":35.55506909}",OCHA,node
locations:lbn_a3_0075,Aaintaroun,,[lbn],"[lbn,lbn_a1_07,lbn_a2_07]",,"{""lat"":33.11089103, ""lng"":35.48286643}",OCHA,node
locations:lbn_a3_0076,"Aaita Ej-Jabal",,[lbn],"[lbn,lbn_a1_07,lbn_a2_07]",,"{""lat"":33.17437083, ""lng"":35.40937949}",OCHA,node
locations:lbn_a3_0077,Aaiyat,,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.53723827, ""lng"":36.19934562}",OCHA,node
locations:lbn_a3_0078,Aaiyeh,,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.18059794, ""lng"":35.30901937}",OCHA,node
locations:lbn_a3_0079,Aajaltoun,,[lbn],"[lbn,lbn_a1_05,lbn_a2_18]",,"{""lat"":33.96299881, ""lng"":35.68548861}",OCHA,node
locations:lbn_a3_0080,"Aakkar El-Aatiqa",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.52768721, ""lng"":36.24095545}",OCHA,node
